,AGN,BA,BABA,BAC,BMY,BP,BUD,C,CHL,CVS,CVX,DIS,GE,HD,HSBC,IBM,JNJ,JPM,KO,LFC,LLY,MA,MCD,MDT,MO,MRK,NTT,NVO,NVS,ORCL,PEP,PFE,PG,PM,PTR,RAI,SLB,SNY,T,TM,TOT,TSM,UL,UN,UNH,V,VZ,WFC,WMT,XOM
2014-03-02,1,1,0,-1,1,0,0,-2,0,0,0,-1,1,1,0,-1,0,1,7,0,0,0,0,-1,0,-2,0,0,0,-1,2,0,-1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
2014-03-03,0,-3,0,2,-1,2,0,4,0,0,1,3,6,2,0,4,1,-2,3,0,1,6,1,0,1,-1,0,0,0,0,5,1,-1,0,0,-1,4,0,0,-1,1,0,0,0,-1,4,1,5,-3,3
2014-03-04,-1,3,0,8,1,0,-1,-3,0,1,0,3,3,3,0,2,2,2,3,0,2,2,0,0,4,2,0,0,-1,4,10,-3,3,1,1,2,0,0,4,0,0,1,0,0,1,-1,3,1,7,2
2014-03-05,2,5,0,26,1,0,-1,1,-3,1,0,7,8,5,0,-2,2,-3,8,0,-1,0,4,0,0,0,0,0,-1,4,6,0,0,1,1,-4,0,0,2,0,1,1,1,0,0,0,0,-11,5,2
2014-03-06,0,1,0,24,0,-1,0,-6,0,0,0,6,2,3,0,1,1,-4,4,0,1,4,0,1,0,5,0,1,-2,0,0,3,1,0,-1,2,-1,1,13,-1,1,-1,0,0,3,3,1,2,-4,0
2014-03-07,0,7,0,-2,0,2,0,-1,0,1,-2,-1,5,-1,0,4,2,1,1,0,0,1,4,1,2,1,0,0,0,0,3,2,0,2,0,0,1,-1,4,0,1,0,0,0,0,2,1,-1,-3,3
2014-03-08,0,-9,0,-2,0,0,0,0,0,2,0,-1,0,0,0,-1,-1,0,1,0,-1,-1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,-3,0,-1,0,0,0,0,-1,6,-1,-3,-1,1
2014-03-09,1,-2,0,8,0,-1,0,-2,0,0,-2,0,1,0,0,2,1,0,-2,0,0,0,0,0,-1,1,0,0,0,0,1,-1,1,0,0,-1,2,0,-1,-1,0,0,0,0,0,3,2,-2,5,2
2014-03-10,1,-6,0,8,0,1,-1,-1,-1,0,2,3,4,-2,0,3,1,-1,6,0,0,-1,-4,-1,2,0,0,1,-1,1,5,0,1,2,0,0,3,0,1,5,0,2,0,0,-1,-1,0,-3,13,5
2014-03-11,0,-2,0,-2,0,0,2,4,1,1,3,5,-3,0,0,-1,1,3,2,0,0,0,-16,-1,-1,0,0,0,0,2,5,1,-2,1,0,0,1,1,4,0,0,0,0,0,0,11,1,-2,10,0
2014-03-12,-1,9,0,7,2,2,0,0,0,0,2,4,9,1,0,1,0,4,-1,0,1,2,-1,0,1,1,0,1,-1,4,1,13,1,0,-1,0,-1,0,6,-1,0,1,0,0,-1,5,6,-3,-1,0
2014-03-13,-1,-3,0,4,0,0,0,2,3,0,-1,1,0,0,0,5,1,-2,1,0,0,1,-2,1,1,-3,0,0,-1,0,3,-1,2,1,1,0,1,-1,1,-1,1,2,1,0,-1,3,1,0,1,2
2014-03-14,0,2,0,-17,0,5,1,-9,4,1,3,4,-2,0,0,-1,2,-7,2,0,0,2,2,0,1,0,0,0,0,2,8,2,0,1,0,3,-1,0,8,-2,1,-1,0,0,0,-2,2,-2,-3,5
2014-03-15,0,-1,0,0,0,0,0,-1,1,1,1,1,0,1,0,-1,1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,0,-2,1
2014-03-16,0,-5,0,5,0,0,0,1,1,0,-1,1,0,2,0,1,1,0,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,-2,1,1,0
2014-03-17,-1,0,0,0,-1,-1,0,-6,2,4,-2,-1,-1,1,0,-1,1,-2,-1,0,0,0,2,0,0,1,0,-1,0,1,3,-1,3,1,0,0,3,0,1,3,0,0,2,1,0,2,3,-5,1,-2
2014-03-18,0,1,0,11,0,-2,0,2,0,-1,1,0,-2,2,0,0,-1,2,6,0,1,1,-2,0,1,2,0,0,1,-5,3,2,0,2,0,1,0,0,-2,0,0,1,0,0,0,2,3,1,-2,2
2014-03-19,1,3,0,10,0,0,0,11,3,0,-4,0,5,0,0,3,-2,6,5,0,0,0,-2,1,0,-1,0,0,2,-10,1,0,0,1,0,0,1,0,5,-2,0,0,0,0,1,-1,4,-2,-2,2
2014-03-20,1,4,0,10,0,4,0,0,5,0,1,1,1,7,0,-1,2,6,8,0,3,0,2,0,-2,0,1,0,0,0,3,4,0,0,0,1,0,0,8,-2,0,1,0,0,1,5,1,0,1,2
2014-03-21,0,8,0,16,-1,-4,0,9,0,-1,2,1,3,2,0,2,-2,5,3,0,0,3,1,1,0,-2,0,1,0,0,2,-1,2,0,1,0,-1,1,2,0,0,0,-1,0,2,22,1,12,5,2
2014-03-22,0,1,0,-2,0,0,0,-1,0,0,-1,0,1,0,0,-3,3,-1,2,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,-2,0,0,0,2,-1
2014-03-23,0,0,0,1,1,1,0,1,-1,2,0,-3,1,-1,0,-3,5,2,1,0,2,-2,0,0,0,-1,0,0,0,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1,2,0,1
2014-03-24,0,2,0,-6,0,-2,0,2,2,0,1,7,3,0,0,-4,1,6,1,0,-1,2,-2,0,0,0,0,0,0,-5,2,-4,-2,0,0,0,0,-2,15,0,-1,0,0,0,2,9,1,-4,3,0
2014-03-25,0,1,0,4,0,2,3,-1,-1,0,-1,14,3,1,0,27,11,2,4,2,0,5,1,0,0,-2,0,0,3,6,2,2,-1,0,-1,-1,1,2,1,2,0,2,0,0,0,-1,-3,3,2,-1
2014-03-26,0,-3,0,22,0,2,0,-23,0,2,5,7,6,2,0,2,2,-3,0,0,-1,6,-1,0,0,4,0,0,0,-3,2,2,2,3,0,0,2,-1,17,2,0,0,0,0,3,7,4,-6,1,0
2014-03-27,-1,-1,0,15,-1,2,1,-18,1,1,2,3,1,0,0,0,2,-1,2,0,-1,0,2,1,1,2,1,0,-1,0,6,3,1,0,0,0,0,2,7,-1,3,0,0,1,1,-4,1,1,3,7
2014-03-28,0,-3,0,-7,-1,3,0,-11,2,0,3,1,-2,-2,0,-3,2,0,1,0,0,3,9,1,0,1,0,0,0,-2,3,3,-1,0,0,0,2,0,-1,0,-1,1,1,0,0,-8,0,0,-4,4
